"gel.id","strain.id","strain.x","trt.x","lim.x","cID.x","tm.pt.x","tm.pt.y","mw.list","lpda.list","band.list","omean.list","olow.list","ohigh.list","rel.int.list"
"20150525-gel3","214-19P2S2","19P2S2","T","P","P2","19",19,27.94,15.77,6,"3",3.6,3.4,0.0172
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,38.26,17.59,3,"6",6.1,5.7,0.1599
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,73.4,17.59,1,"16",16.4,15.5,0.141
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,40.4,17.59,2,"7",6.7,6.3,0.0305
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,21.09,17.59,6,"1",1,1,0.0381
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,35.59,17.59,4,"5",5.3,5,0.2842
"20150525-gel3","216-01N2S3","01N2S3","C","N","N2","1",1,23.11,17.59,5,"2",1.6,1.5,0.0052
"20160413-gel1","221-01P4S5","01P4S5","C","P","P4","1",1,28.92,18.68,1,"3",3,2.8,0.2366
"20160413-gel1","223-01N2S4","01N2S4","C","N","N2","1",1,27.14,18.85,2,"2",2.4,2.3,0.0907
"20160413-gel1","223-01N2S4","01N2S4","C","N","N2","1",1,28.83,18.85,1,"3",2.9,2.8,0.2897
"20160413-gel1","224-01N5S4","01N5S4","C","N","N5","1",1,27.14,18.51,2,"2",2.5,2.4,0.1031
"20160413-gel1","224-01N5S4","01N5S4","C","N","N5","1",1,28.66,18.51,1,"3",3,2.8,0.2256
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,32.63,18.56,6,"4",4.1,3.9,0.0455
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,37.75,18.56,4,"5",5.6,5.3,0.0117
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,22.5,18.56,11,"1",1.2,1.1,0.0809
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,26.99,18.56,8,"2",2.5,2.3,0.0126
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,44.83,18.56,2,"8",7.7,7.3,0.1967
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,35.75,18.56,5,"5",5.1,4.8,0.0235
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,28.68,18.56,7,"3",3,2.8,0.0919
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,48.93,18.56,1,"9",8.9,8.4,0.0509
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,23.38,18.56,10,"1",1.4,1.3,0.0289
