strain.list,lim,time,strain,bin,no.bands.list,rel.int
235-01N2S1,N,01,01N2S1,16,0,0
235-01N2S1,N,01,01N2S1,17,0,0
236-01N3S3,N,01,01N3S3,1,0,0
236-01N3S3,N,01,01N3S3,2,0,0
236-01N3S3,N,01,01N3S3,3,0,0
236-01N3S3,N,01,01N3S3,4,0,0
236-01N3S3,N,01,01N3S3,5,0,0
236-01N3S3,N,01,01N3S3,6,0,0
236-01N3S3,N,01,01N3S3,7,0,0
236-01N3S3,N,01,01N3S3,8,0,0
236-01N3S3,N,01,01N3S3,9,0,0
236-01N3S3,N,01,01N3S3,10,0,0
236-01N3S3,N,01,01N3S3,11,0,0
236-01N3S3,N,01,01N3S3,12,0,0
236-01N3S3,N,01,01N3S3,13,1,0.1174
236-01N3S3,N,01,01N3S3,14,0,0
236-01N3S3,N,01,01N3S3,15,0,0
236-01N3S3,N,01,01N3S3,16,0,0
236-01N3S3,N,01,01N3S3,17,0,0
237-19P5S5,P,19,19P5S5,1,0,0
237-19P5S5,P,19,19P5S5,2,0,0
237-19P5S5,P,19,19P5S5,3,0,0
237-19P5S5,P,19,19P5S5,4,0,0
237-19P5S5,P,19,19P5S5,5,0,0
237-19P5S5,P,19,19P5S5,6,0,0
237-19P5S5,P,19,19P5S5,7,0,0
237-19P5S5,P,19,19P5S5,8,0,0
237-19P5S5,P,19,19P5S5,9,0,0
237-19P5S5,P,19,19P5S5,10,0,0
237-19P5S5,P,19,19P5S5,11,0,0
237-19P5S5,P,19,19P5S5,12,0,0
237-19P5S5,P,19,19P5S5,13,0,0
237-19P5S5,P,19,19P5S5,14,0,0
237-19P5S5,P,19,19P5S5,15,0,0
237-19P5S5,P,19,19P5S5,16,0,0
237-19P5S5,P,19,19P5S5,17,1,0.1558
244-19P5S3,P,19,19P5S3,1,0,0
244-19P5S3,P,19,19P5S3,2,0,0
244-19P5S3,P,19,19P5S3,3,0,0
244-19P5S3,P,19,19P5S3,4,0,0
244-19P5S3,P,19,19P5S3,5,0,0
244-19P5S3,P,19,19P5S3,6,0,0
244-19P5S3,P,19,19P5S3,7,0,0
244-19P5S3,P,19,19P5S3,8,1,0.411
244-19P5S3,P,19,19P5S3,9,1,0.363
244-19P5S3,P,19,19P5S3,10,0,0
244-19P5S3,P,19,19P5S3,11,0,0
244-19P5S3,P,19,19P5S3,12,0,0
244-19P5S3,P,19,19P5S3,13,1,0.047
244-19P5S3,P,19,19P5S3,14,1,0.0328
244-19P5S3,P,19,19P5S3,15,0,0
244-19P5S3,P,19,19P5S3,16,0,0
244-19P5S3,P,19,19P5S3,17,1,0.0574
248-19P4S5,P,19,19P4S5,1,0,0
248-19P4S5,P,19,19P4S5,2,0,0
248-19P4S5,P,19,19P4S5,3,0,0
248-19P4S5,P,19,19P4S5,4,0,0
248-19P4S5,P,19,19P4S5,5,0,0
248-19P4S5,P,19,19P4S5,6,0,0
248-19P4S5,P,19,19P4S5,7,0,0
248-19P4S5,P,19,19P4S5,8,0,0
248-19P4S5,P,19,19P4S5,9,1,0.1462
248-19P4S5,P,19,19P4S5,10,1,0.0959
248-19P4S5,P,19,19P4S5,11,0,0
248-19P4S5,P,19,19P4S5,12,0,0
248-19P4S5,P,19,19P4S5,13,0,0
248-19P4S5,P,19,19P4S5,14,1,0.1302
248-19P4S5,P,19,19P4S5,15,0,0
248-19P4S5,P,19,19P4S5,16,0,0
248-19P4S5,P,19,19P4S5,17,1,0.067
245-19N3S4,N,19,19N3S4,1,0,0
245-19N3S4,N,19,19N3S4,2,0,0
245-19N3S4,N,19,19N3S4,3,0,0
245-19N3S4,N,19,19N3S4,4,0,0
245-19N3S4,N,19,19N3S4,5,1,0.0537
245-19N3S4,N,19,19N3S4,6,0,0
245-19N3S4,N,19,19N3S4,7,1,0.1962
245-19N3S4,N,19,19N3S4,8,0,0
245-19N3S4,N,19,19N3S4,9,1,0.2319
245-19N3S4,N,19,19N3S4,10,0,0
245-19N3S4,N,19,19N3S4,11,0,0
245-19N3S4,N,19,19N3S4,12,1,0.0247
245-19N3S4,N,19,19N3S4,13,0,0
245-19N3S4,N,19,19N3S4,14,2,0.07315
245-19N3S4,N,19,19N3S4,15,0,0
245-19N3S4,N,19,19N3S4,16,1,0.1204
245-19N3S4,N,19,19N3S4,17,1,0.1607
250-01P5S5,P,01,01P5S5,1,0,0
250-01P5S5,P,01,01P5S5,2,0,0
250-01P5S5,P,01,01P5S5,3,1,0.0225
250-01P5S5,P,01,01P5S5,4,0,0
250-01P5S5,P,01,01P5S5,5,0,0
250-01P5S5,P,01,01P5S5,6,0,0
250-01P5S5,P,01,01P5S5,7,1,0.0289
250-01P5S5,P,01,01P5S5,8,0,0
250-01P5S5,P,01,01P5S5,9,1,0.1167
250-01P5S5,P,01,01P5S5,10,1,0.0777
250-01P5S5,P,01,01P5S5,11,1,0.0299
250-01P5S5,P,01,01P5S5,12,0,0
250-01P5S5,P,01,01P5S5,13,1,0.0576
250-01P5S5,P,01,01P5S5,14,1,0.3207
250-01P5S5,P,01,01P5S5,15,0,0
250-01P5S5,P,01,01P5S5,16,1,0.032
250-01P5S5,P,01,01P5S5,17,1,0.0855
251-19N2S5,N,19,19N2S5,1,0,0
251-19N2S5,N,19,19N2S5,2,0,0
251-19N2S5,N,19,19N2S5,3,0,0
251-19N2S5,N,19,19N2S5,4,0,0
251-19N2S5,N,19,19N2S5,5,0,0
251-19N2S5,N,19,19N2S5,6,1,0.0635
251-19N2S5,N,19,19N2S5,7,0,0
251-19N2S5,N,19,19N2S5,8,1,0.1605
251-19N2S5,N,19,19N2S5,9,0,0
251-19N2S5,N,19,19N2S5,10,1,0.1698
251-19N2S5,N,19,19N2S5,11,1,0.0216
251-19N2S5,N,19,19N2S5,12,1,0.0386
251-19N2S5,N,19,19N2S5,13,1,0.0089
251-19N2S5,N,19,19N2S5,14,1,0.0114
251-19N2S5,N,19,19N2S5,15,1,0.062
251-19N2S5,N,19,19N2S5,16,1,0.1102
251-19N2S5,N,19,19N2S5,17,1,0.2001
234-01P2S4,P,01,01P2S4,1,0,0
234-01P2S4,P,01,01P2S4,2,0,0
234-01P2S4,P,01,01P2S4,3,0,0
234-01P2S4,P,01,01P2S4,4,0,0
234-01P2S4,P,01,01P2S4,5,0,0
234-01P2S4,P,01,01P2S4,6,0,0
234-01P2S4,P,01,01P2S4,7,0,0
234-01P2S4,P,01,01P2S4,8,1,0.03
234-01P2S4,P,01,01P2S4,9,1,0.113
234-01P2S4,P,01,01P2S4,10,1,0.0712
234-01P2S4,P,01,01P2S4,11,0,0
234-01P2S4,P,01,01P2S4,12,0,0
234-01P2S4,P,01,01P2S4,13,1,0.2106
234-01P2S4,P,01,01P2S4,14,0,0
234-01P2S4,P,01,01P2S4,15,0,0
234-01P2S4,P,01,01P2S4,16,0,0
234-01P2S4,P,01,01P2S4,17,1,0.0044
239-01N3S4,N,01,01N3S4,1,0,0
239-01N3S4,N,01,01N3S4,2,0,0
239-01N3S4,N,01,01N3S4,3,0,0
239-01N3S4,N,01,01N3S4,4,0,0
239-01N3S4,N,01,01N3S4,5,0,0
239-01N3S4,N,01,01N3S4,6,0,0
239-01N3S4,N,01,01N3S4,7,0,0
239-01N3S4,N,01,01N3S4,8,0,0
239-01N3S4,N,01,01N3S4,9,1,0.039
239-01N3S4,N,01,01N3S4,10,2,0.0262
239-01N3S4,N,01,01N3S4,11,0,0
239-01N3S4,N,01,01N3S4,12,0,0
239-01N3S4,N,01,01N3S4,13,1,0.1354
239-01N3S4,N,01,01N3S4,14,0,0
239-01N3S4,N,01,01N3S4,15,0,0
239-01N3S4,N,01,01N3S4,16,0,0
239-01N3S4,N,01,01N3S4,17,0,0
240-01P2S1,P,01,01P2S1,1,0,0
240-01P2S1,P,01,01P2S1,2,0,0
240-01P2S1,P,01,01P2S1,3,0,0
240-01P2S1,P,01,01P2S1,4,0,0
240-01P2S1,P,01,01P2S1,5,0,0
240-01P2S1,P,01,01P2S1,6,0,0
240-01P2S1,P,01,01P2S1,7,0,0
240-01P2S1,P,01,01P2S1,8,1,0.0149
240-01P2S1,P,01,01P2S1,9,1,0.0651
240-01P2S1,P,01,01P2S1,10,2,0.0181
240-01P2S1,P,01,01P2S1,11,0,0
240-01P2S1,P,01,01P2S1,12,1,0.0069
240-01P2S1,P,01,01P2S1,13,1,0.1765
240-01P2S1,P,01,01P2S1,14,0,0
240-01P2S1,P,01,01P2S1,15,0,0
240-01P2S1,P,01,01P2S1,16,1,0.0168
240-01P2S1,P,01,01P2S1,17,1,0.0485
252-01P4S4,P,01,01P4S4,1,0,0
252-01P4S4,P,01,01P4S4,2,0,0
252-01P4S4,P,01,01P4S4,3,0,0
252-01P4S4,P,01,01P4S4,4,0,0
252-01P4S4,P,01,01P4S4,5,0,0
252-01P4S4,P,01,01P4S4,6,0,0
252-01P4S4,P,01,01P4S4,7,0,0
252-01P4S4,P,01,01P4S4,8,1,0.0035
252-01P4S4,P,01,01P4S4,9,1,0.0129
252-01P4S4,P,01,01P4S4,10,1,0.0143
252-01P4S4,P,01,01P4S4,11,0,0
252-01P4S4,P,01,01P4S4,12,0,0
252-01P4S4,P,01,01P4S4,13,0,0
252-01P4S4,P,01,01P4S4,14,1,0.2795
252-01P4S4,P,01,01P4S4,15,0,0
252-01P4S4,P,01,01P4S4,16,1,0.0149
252-01P4S4,P,01,01P4S4,17,1,0.0184
258-01N3S2,N,01,01N3S2,1,0,0
258-01N3S2,N,01,01N3S2,2,1,0.0202
258-01N3S2,N,01,01N3S2,3,0,0
258-01N3S2,N,01,01N3S2,4,0,0
258-01N3S2,N,01,01N3S2,5,0,0
258-01N3S2,N,01,01N3S2,6,0,0
258-01N3S2,N,01,01N3S2,7,0,0
258-01N3S2,N,01,01N3S2,8,1,0.0345
258-01N3S2,N,01,01N3S2,9,1,0.0616
258-01N3S2,N,01,01N3S2,10,1,0.0371
258-01N3S2,N,01,01N3S2,11,1,0.0286
258-01N3S2,N,01,01N3S2,12,1,0.0144
258-01N3S2,N,01,01N3S2,13,0,0
258-01N3S2,N,01,01N3S2,14,2,0.13975
258-01N3S2,N,01,01N3S2,15,0,0
258-01N3S2,N,01,01N3S2,16,1,0.0334
258-01N3S2,N,01,01N3S2,17,1,0.0566
249-01P2S2,P,01,01P2S2,1,0,0
249-01P2S2,P,01,01P2S2,2,0,0
249-01P2S2,P,01,01P2S2,3,0,0
249-01P2S2,P,01,01P2S2,4,0,0
249-01P2S2,P,01,01P2S2,5,0,0
249-01P2S2,P,01,01P2S2,6,1,0.0453
249-01P2S2,P,01,01P2S2,7,0,0
249-01P2S2,P,01,01P2S2,8,1,0.0842
249-01P2S2,P,01,01P2S2,9,0,0
249-01P2S2,P,01,01P2S2,10,2,0.0442
249-01P2S2,P,01,01P2S2,11,1,0.0524
249-01P2S2,P,01,01P2S2,12,0,0
249-01P2S2,P,01,01P2S2,13,1,0.0246
249-01P2S2,P,01,01P2S2,14,1,0.3803
249-01P2S2,P,01,01P2S2,15,0,0
249-01P2S2,P,01,01P2S2,16,1,0.0553
249-01P2S2,P,01,01P2S2,17,1,0.1023
255-19P5S1,P,19,19P5S1,1,0,0
255-19P5S1,P,19,19P5S1,2,0,0
255-19P5S1,P,19,19P5S1,3,1,0.065
255-19P5S1,P,19,19P5S1,4,0,0
255-19P5S1,P,19,19P5S1,5,1,0.0584
255-19P5S1,P,19,19P5S1,6,0,0
255-19P5S1,P,19,19P5S1,7,1,0.0509
255-19P5S1,P,19,19P5S1,8,1,0.037
255-19P5S1,P,19,19P5S1,9,0,0
255-19P5S1,P,19,19P5S1,10,2,0.01445
255-19P5S1,P,19,19P5S1,11,0,0
255-19P5S1,P,19,19P5S1,12,1,0.0157
255-19P5S1,P,19,19P5S1,13,1,0.0223
255-19P5S1,P,19,19P5S1,14,1,0.0972
255-19P5S1,P,19,19P5S1,15,1,0.0124
255-19P5S1,P,19,19P5S1,16,1,0.0561
255-19P5S1,P,19,19P5S1,17,2,0.07815
256-19P2S4,P,19,19P2S4,1,0,0
256-19P2S4,P,19,19P2S4,2,1,0.0557
256-19P2S4,P,19,19P2S4,3,0,0
256-19P2S4,P,19,19P2S4,4,1,0.0326
256-19P2S4,P,19,19P2S4,5,0,0
256-19P2S4,P,19,19P2S4,6,1,0.0244
256-19P2S4,P,19,19P2S4,7,1,0.0163
256-19P2S4,P,19,19P2S4,8,0,0
256-19P2S4,P,19,19P2S4,9,1,0.0102
256-19P2S4,P,19,19P2S4,10,1,0.0114
256-19P2S4,P,19,19P2S4,11,1,0.0191
256-19P2S4,P,19,19P2S4,12,1,0.0129
256-19P2S4,P,19,19P2S4,13,1,0.0336
256-19P2S4,P,19,19P2S4,14,1,0.1148
256-19P2S4,P,19,19P2S4,15,1,0.0126
256-19P2S4,P,19,19P2S4,16,1,0.0685
256-19P2S4,P,19,19P2S4,17,2,0.06855
257-19P2S1,P,19,19P2S1,1,0,0
257-19P2S1,P,19,19P2S1,2,0,0
257-19P2S1,P,19,19P2S1,3,1,0.0402
257-19P2S1,P,19,19P2S1,4,0,0
257-19P2S1,P,19,19P2S1,5,1,0.0249
257-19P2S1,P,19,19P2S1,6,1,0.0159
257-19P2S1,P,19,19P2S1,7,0,0
257-19P2S1,P,19,19P2S1,8,1,0.0118
257-19P2S1,P,19,19P2S1,9,0,0
257-19P2S1,P,19,19P2S1,10,2,0.0106
257-19P2S1,P,19,19P2S1,11,0,0
257-19P2S1,P,19,19P2S1,12,1,0.016
257-19P2S1,P,19,19P2S1,13,1,0.0192
257-19P2S1,P,19,19P2S1,14,0,0
257-19P2S1,P,19,19P2S1,15,1,0.0435
257-19P2S1,P,19,19P2S1,16,0,0
257-19P2S1,P,19,19P2S1,17,2,0.05445
