Gel.dat,Gel,lim,cID,Sample,lane,Band,MW,Band Int.,Rel. Int.
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,14,12219,34.79,0.0045
2016-4-25_1_20160413-gel2_Data,20160413-gel2,P,P4,19P4S3,6: 29-19P4S3,15,10788.3,24,0.0007
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,1,42545.5,325.84,0.0519
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,2,41945.8,502.57,0.0582
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,3,41885.5,631.29,0.062
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,4,41825.3,513.01,0.0383
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,5,41753,313.68,0.035
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,6,41680.7,229.35,0.0276
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,7,41590.4,334.93,0.0449
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,8,40979.2,262.49,0.0341
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,9,25287.5,219.11,0.0684
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,10,21712.5,176.39,0.0222
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,11,18550,170.75,0.0214
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,12,17562,133.23,0.0148
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,13,16978.1,134.67,0.0178
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,14,16335.8,235.07,0.0242
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,15,15781,446.54,0.0452
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,16,15430.7,777.21,0.1135
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,17,14438,632.27,0.0788
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,18,14058.4,379.91,0.0434
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,19,13532.8,1355.41,0.1749
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N2,05N2S4,7: 30-05N2S4,20,13007.3,308.91,0.0234
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,8101,8101,8: 31-8101,1,17970.8,30.12,0.0878
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,8101,8101,8: 31-8101,2,13854,437.11,0.5991
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,8101,8101,8: 31-8101,3,13299.3,196.6,0.3131
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,1,48545.5,777.26,0.0861
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,2,44181.8,1490.03,0.0297
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,3,41963.9,2304.99,0.1646
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,4,41891.6,2190.15,0.2203
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,5,41831.3,1841.11,0.0599
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,6,41771.1,1443.08,0.1188
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,7,41686.7,794.42,0.0611
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,8,41596.4,303.87,0.0294
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,9,41512,173.22,0.015
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,10,33687.5,125.85,0.0109
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,11,25012.5,66.51,0.005
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,12,21850,67.73,0.0068
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,13,18962.5,190.75,0.0215
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,14,17474.5,165.16,0.0178
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,15,16890.5,585.09,0.0504
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,16,16365,347.82,0.0493
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,17,15985.4,480.07,0.0315
2016-4-25_1_20160413-gel2_Data,20160413-gel2,A,7803R8,7803R8,9: 32-7803R8,18,14496.4,230.98,0.0219
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,2: 04-01P5S5,1,95333.3,87.94,0.0121
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,2,66000,142.64,0.0224
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,3,51882.4,303.93,0.0289
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,4,43882.4,767.92,0.1166
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,5,41788.5,522.57,0.0776
